,Unnamed: 0,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,Aging Bucket
0,3,CA02,0140105686,SYSC llc,2020-04-19,2020.0,2960623488.0,2020-03-30,2020-04-10,2020-03-31,CA10,2309.7899999999995,0-15
1,7,U001,0200744019,TARG us,2020-04-06,2020.0,1930659387.0,2020-03-19,2020-04-03,2020-03-19,NAA8,11173.02,0-15
2,10,U001,0200418007,AM ,2020-03-26,2020.0,1930610806.0,2020-03-11,2020-03-26,2020-03-11,NAA8,3525.59,0-15
3,14,U001,0200739534,OK systems,2020-05-04,2020.0,1930788296.0,2020-04-15,2020-04-30,2020-04-15,NAA8,121105.65,0-15
4,15,U001,0200353024,DECA corporation,2020-05-01,2020.0,1930817482.0,2020-04-23,2020-04-26,2020-04-16,NAM2,3726.06,0-15
5,22,U001,0200744019,TARG associates,2020-04-08,2020.0,1930676042.0,2020-03-21,2020-04-05,2020-03-21,NAA8,5893.01,0-15
6,25,CA02,0140106408,WAL-M corp,2020-03-19,2020.0,2960618790.0,2020-03-06,2020-03-16,2020-03-06,CA10,64982.58900000001,0-15
7,27,U001,0200337148,COAS llc,2020-03-20,2020.0,1930592246.0,2020-03-02,2020-03-17,2020-03-02,NAA8,11380.83,0-15
8,35,U001,0200794332,COST associates,2020-04-26,2020.0,1930731070.0,2020-04-07,2020-04-22,2020-04-07,NAAX,3863.93,0-15
9,37,U001,0200794332,COST llc,2020-05-15,2020.0,1930803605.0,2020-04-23,2020-05-08,2020-04-23,NAAX,74453.01,0-15
10,45,U001,0200803720,DEC corp,2020-04-12,2020.0,1930698352.0,2020-03-25,2020-04-08,2020-03-16,NAM4,138.6,0-15
11,51,U001,0200794332,COST co,2020-03-31,2020.0,1930647189.0,2020-03-13,2020-03-28,2020-03-13,NAAX,32715.47,0-15
12,52,U001,0200020431,DEC us,2020-05-26,2020.0,1930861637.0,2020-05-06,2020-05-24,2020-05-01,NAM4,174.72,0-15
13,57,U001,0200769623,WAL-MAR associates,2020-03-29,2020.0,1930635649.0,2020-03-12,2020-03-27,2020-03-12,NAH4,767.78,0-15
14,70,CA02,140105785,SHOPPE foundation,2020-04-19,2020.0,2960624627.0,2020-03-27,2020-04-10,2020-03-31,CA10,1980.72,0-15
15,76,U001,0200769623,WAL-MAR ,2020-03-17,2020.0,1930577078.0,2020-02-28,2020-03-14,2020-02-28,NAH4,14514.68,0-15
16,77,U001,0200769623,WAL-MAR foundation,2020-04-28,2020.0,1930774741.0,2020-04-10,2020-04-25,2020-04-10,NAH4,55400.31,0-15
17,79,U001,0200772670,ASSOCIAT corporation,2020-04-27,2020.0,1930765053.0,2020-04-09,2020-04-24,2020-04-09,NAU5,174766.36,0-15
18,83,U001,0200900909,SYSCO systems,2020-04-17,2020.0,1930645969.0,2020-03-13,2020-04-14,2020-03-13,NA32,31512.75,0-15
19,84,U001,0200769623,WAL-MAR systems,2020-04-17,2020.0,1930718081.0,2020-03-30,2020-04-14,2020-03-30,NAH4,19701.55,0-15
20,88,U001,0200726979,BJ'S  trust,2020-05-05,2020.0,1930788667.0,2020-04-16,2020-05-01,2020-04-16,NAA8,132.72,0-15
21,94,U001,0200769623,WAL-MAR llc,2020-04-16,2020.0,1930709919.0,2020-03-29,2020-04-13,2020-03-29,NAH4,1121.15,0-15
22,95,U001,0200769623,WAL-MAR llc,2020-04-24,2020.0,1930752568.0,2020-04-06,2020-04-21,2020-04-06,NAH4,11394.84,0-15
23,102,CA02,0140105847,GORDON F co,2020-04-25,2020.0,2960627274.0,2020-04-08,2020-04-18,2020-04-08,CA10,2579.64,0-15
24,110,U001,0200744019,TARG foundation,2020-04-03,2020.0,1930648342.0,2020-03-15,2020-03-30,2020-03-15,NAA8,52123.3,0-15
25,112,U001,0200769623,WAL-MAR systems,2020-03-27,2020.0,1930632791.0,2020-03-10,2020-03-25,2020-03-10,NAH4,14994.01,0-15
26,113,U001,0200769623,WAL-MAR llc,2020-04-03,2020.0,1930617194.0,2020-03-06,2020-03-21,2020-03-06,NAH4,36.06,0-15
27,131,U001,0200418007,AM in,2020-04-21,2020.0,1930752243.0,2020-04-06,2020-04-21,2020-04-06,NAA8,25836.19,0-15
28,135,U001,0200739006,AL foundation,2020-04-28,2020.0,1930768064.0,2020-04-15,2020-04-30,2020-04-15,NAA8,4309.05,
29,137,U001,0100031704,DELHAIZE associates,2020-05-03,2020.0,1930789873.0,2020-04-15,2020-04-30,2020-04-15,NAA8,70181.07,0-15
30,138,U001,0200769623,WAL-MAR trust,2020-04-15,2020.0,1930705172.0,2020-03-28,2020-04-12,2020-03-28,NAH4,3403.8,0-15
31,148,U001,0200744019,TARG systems,2020-05-16,2020.0,1930620634.0,2020-03-10,2020-05-14,2020-03-10,NAGD,10665.53,0-15
32,178,U001,0200769623,WAL-MAR ,2020-04-08,2020.0,1930676002.0,2020-03-21,2020-04-05,2020-03-21,NAH4,7280.51,0-15
33,188,U001,0200726979,BJ'S  corporation,2020-03-21,2020.0,1930585378.0,2020-03-02,2020-03-17,2020-03-02,NAA8,13681.7,0-15
34,193,U001,0200706844,WINC associates,2020-04-27,2020.0,1930773419.0,2020-04-07,2020-04-22,2020-04-07,NAA8,33947.85,0-15
35,197,U001,0200793830,M llc,2020-04-26,2020.0,1930767747.0,2020-04-08,2020-04-23,2020-04-08,NAA8,4537.14,0-15
36,199,U001,0200769623,WAL-MAR foundation,2020-04-24,2020.0,1930750455.0,2020-04-06,2020-04-21,2020-04-06,NAH4,14355.96,0-15
37,200,U001,0200769623,WAL-MAR systems,2020-04-21,2020.0,1930738904.0,2020-04-03,2020-04-18,2020-04-03,NAH4,367.71,0-15
38,203,U001,0200769623,WAL-MAR trust,2020-05-24,2020.0,1930862467.0,2020-05-06,2020-05-21,2020-05-06,NAH4,56284.77,0-15
39,214,U001,0200769623,WAL-MAR systems,2020-03-18,2020.0,1930582162.0,2020-02-29,2020-03-15,2020-02-29,NAH4,50493.86,0-15
40,215,U001,0200769623,WAL-MAR llc,2020-05-09,2020.0,1930802490.0,2020-04-21,2020-05-06,2020-04-21,NAH4,15489.43,0-15
41,229,CA02,0140104423,METRO  llc,2020-03-13,2020.0,2960617050.0,2020-02-27,2020-03-11,2020-03-01,CA10,93179.35199999998,0-15
42,237,U001,0200726979,BJ'S  systems,2020-05-07,2020.0,1930801417.0,2020-04-19,2020-05-04,2020-04-19,NAA8,360.33,0-15
43,242,U001,0200743996,STATER  llc,2020-05-24,2020.0,1930660304.0,2020-03-16,2020-05-20,2020-03-16,NAGD,3826.03,0-15
44,254,U001,0200752302,KROGER trust,2020-04-22,2020.0,1930733767.0,2020-04-02,2020-04-17,2020-04-02,NAA8,96674.05,0-15
45,258,CA02,140105686,SYSC llc,2020-05-22,2020.0,2960633120.0,2020-05-06,2020-05-18,2020-05-08,CA10,43230.299000000006,0-15
46,260,U001,0200711029,WEGMAN corp,2020-04-24,2020.0,1930742932.0,2020-04-03,2020-04-18,2020-04-03,NAA8,14382.22,0-15
47,264,CA02,CCU001,KRAFT  corporation,2020-05-13,2020.0,2960622220.0,2020-03-20,2020-04-27,2020-03-23,NAG2,17828.068999999996,16-30
48,265,U001,0200769623,WAL-MAR llc,2020-05-09,2020.0,1930804924.0,2020-04-21,2020-05-06,2020-04-21,NAH4,35509.95,0-15
49,268,U001,0200769623,WAL-MAR associates,2020-04-23,2020.0,1930746955.0,2020-04-05,2020-04-20,2020-04-05,NAH4,13512.61,0-15
50,272,U001,0200772670,ASSOCIAT corp,2020-04-11,2020.0,1930698156.0,2020-03-24,2020-04-08,2020-03-24,NAU5,24421.33,0-15
51,275,U001,0200769623,WAL-MAR co,2020-05-07,2020.0,1930801200.0,2020-04-19,2020-05-04,2020-04-19,NAH4,11217.33,0-15
52,277,U001,0200769623,WAL-MAR systems,2020-05-01,2020.0,1930776682.0,2020-04-13,2020-04-28,2020-04-13,NAH4,12554.13,0-15
53,288,U001,0200720238,WOODM co,2020-05-25,2020.0,1930858727.0,2020-05-06,2020-05-21,2020-05-06,NAA8,126919.03,0-15
54,295,CA02,140106408,WAL-M in,2020-05-09,2020.0,2960631200.0,2020-04-25,2020-05-05,2020-04-25,CA10,28537.683999999997,0-15
55,301,U001,0200769623,WAL-MAR co,2020-04-19,2020.0,1930729999.0,2020-04-01,2020-04-16,2020-04-01,NAH4,24834.9,0-15
56,311,U001,0200769623,WAL-MAR us,2020-04-02,2020.0,1930653060.0,2020-03-15,2020-03-30,2020-03-15,NAH4,50202.83,0-15
57,312,U001,0200769623,WAL-MAR us,2020-04-19,2020.0,1930715979.0,2020-04-01,2020-04-16,2020-04-01,NAH4,8299.7,0-15
58,314,U001,0200799367,MCL corporation,2020-04-09,2020.0,1930673430.0,2020-03-24,2020-04-08,2020-03-24,NAA8,51602.13,0-15
59,319,U001,0200759878,SA co,2020-04-29,2020.0,1930783249.0,2020-04-14,2020-04-29,2020-04-14,NAH4,18900.99,0-15
60,323,U001,0200794332,COST corp,2020-04-03,2020.0,1930638145.0,2020-03-14,2020-03-29,2020-03-14,NAAX,49467.7,0-15
61,324,U001,0200515231,US  us,2020-05-07,2020.0,1930768145.0,2020-04-09,2020-04-24,2020-04-09,NAA8,10187.66,0-15
62,330,U001,0200782669,SYGMA corp,2020-03-30,2020.0,1930636977.0,2020-03-13,2020-03-28,2020-03-13,NAA8,237.4,0-15
63,333,U001,200769623,WAL-MAR foundation,2020-05-30,2020.0,1930882979.0,2020-05-12,2020-05-27,2020-05-12,NAH4,11532.84,0-15
64,340,U001,0200769623,WAL-MAR ,2020-04-11,2020.0,1930692833.0,2020-03-24,2020-04-08,2020-03-24,NAH4,20017.92,0-15
65,362,U001,0200331749,SYSC foundation,2020-03-17,2020.0,1930579080.0,2020-02-28,2020-03-14,2020-02-28,NAA8,5320.85,0-15
66,363,U001,0200772670,ASSOCIAT associates,2020-05-11,2020.0,1930819529.0,2020-04-23,2020-05-08,2020-04-23,NAU5,30900.83,0-15
67,383,U001,0200772670,ASSOCIAT us,2020-04-21,2020.0,1930736164.0,2020-04-02,2020-04-17,2020-04-02,NAU5,65843.26,0-15
68,396,U001,0200706844,WINC foundation,2020-03-24,2020.0,1930599854.0,2020-03-04,2020-03-19,2020-03-04,NAA8,359.44,0-15
69,399,U001,0100043975,JAVA ,2020-04-18,2020.0,1930740345.0,2020-04-03,2020-04-18,2020-04-03,NAA8,1427.36,0-15
70,402,U001,0200762301,C&S WH in,2020-03-20,2020.0,1930592552.0,2020-03-04,2020-03-19,2020-03-04,NAC6,99091.71,0-15
71,403,U001,0200148860,DOLLA associates,2020-06-09,2020.0,1930732920.0,2020-04-03,2020-06-07,2020-04-03,NAGD,6543.44,0-15
72,411,CA02,0100027744,OMEGA AD in,2020-05-24,2020.0,2960635652.0,2020-05-19,2020-05-19,2020-05-19,CAB1,4924.5,0-15
73,419,U001,0100031704,DELHAIZE co,2020-03-19,2020.0,1930585468.0,2020-03-01,2020-03-16,2020-03-01,NAA8,106394.18,0-15
74,423,U001,0200799420,HT HA foundation,2020-04-11,2020.0,1930703225.0,2020-03-25,2020-04-09,2020-03-25,NAA8,801.1,0-15
75,428,U001,0200974851,RESTA systems,2020-04-15,2020.0,1930706997.0,2020-03-26,2020-04-10,2020-03-26,NAA8,3566.69,0-15
76,433,U001,0200769623,WAL-MAR in,2020-05-16,2020.0,1930830709.0,2020-04-28,2020-05-13,2020-04-28,NAH4,8885.57,0-15
77,440,U001,0200793568,SUPE llc,2020-03-28,2020.0,1930630388.0,2020-03-10,2020-03-25,2020-03-10,NAA8,15893.27,0-15
78,442,U001,0200759878,SA foundation,2020-03-21,2020.0,1930609945.0,2020-03-06,2020-03-21,2020-03-06,NAH4,70180.8,0-15
79,445,U001,0200712187,SPAR in,2020-05-12,2020.0,1930806222.0,2020-04-20,2020-05-05,2020-04-20,NAA8,119384.36,0-15
80,446,U001,0100047532,KEYSTON associates,2020-03-22,2020.0,1930592834.0,2020-03-04,2020-03-19,2020-03-04,NAA8,11852.54,0-15
81,447,U001,0200794332,COST co,2020-03-23,2020.0,1930562584.0,2020-02-28,2020-03-19,2020-02-28,NA84,11225.42,0-15
82,454,U001,0200148860,DOLLA associates,2020-06-01,2020.0,1930699340.0,2020-03-25,2020-05-29,2020-03-25,NAGD,5456.75,0-15
83,458,U001,200794332,COST llc,2020-05-29,2020.0,1930862420.0,2020-05-08,2020-05-23,2020-05-08,NAAX,81500.86,0-15
84,468,U001,0200555117,BURR trust,2020-04-15,2020.0,1930709963.0,2020-03-27,2020-04-11,2020-03-27,NAA8,749.14,0-15
85,470,U001,200769623,WAL-MAR in,2020-05-27,2020.0,1930878284.0,2020-05-09,2020-05-24,2020-05-09,NAH4,2219.89,0-15
86,471,U001,0200772670,ASSOCIAT corp,2020-04-08,2020.0,1930683241.0,2020-03-21,2020-04-05,2020-03-21,NAU5,15489.78,0-15
87,473,U001,200707822,PUBLI corporation,2020-05-24,2020.0,1930857983.0,2020-05-04,2020-05-19,2020-05-04,NAA8,126107.91,0-15
88,482,CA02,0140104392,FLANAG us,2020-03-24,2020.0,2960619205.0,2020-03-06,2020-03-20,2020-03-10,CA10,2528.673,0-15
89,486,U001,0200769623,WAL-MAR corp,2020-05-16,2020.0,1930831780.0,2020-04-28,2020-05-13,2020-04-28,NAH4,11545.38,0-15
90,493,U001,0200759878,SA systems,2020-04-15,2020.0,1930717567.0,2020-03-31,2020-04-15,2020-03-31,NAH4,47646.57,0-15
91,498,U001,0200705742,DOT foundation,2020-03-16,2020.0,1930581678.0,2020-02-28,2020-03-14,2020-02-28,NAA8,5932.51,0-15
92,502,U001,200793568,SUPE trust,2020-04-11,2020.0,1930690537.0,2020-03-23,2020-04-07,2020-03-23,NAA8,1635.76,0-15
93,511,U001,0200726979,BJ'S  ,2020-03-30,2020.0,1930646128.0,2020-03-12,2020-03-27,2020-03-12,NAA8,1286.3,0-15
94,516,U001,0200704858,WAKE corp,2020-04-25,2020.0,1930762384.0,2020-04-09,2020-04-24,2020-04-09,NAA8,99568.42,0-15
95,519,U001,0200780383,MEIJ in,2020-04-07,2020.0,1930665025.0,2020-03-18,2020-04-02,2020-03-18,NAA8,3612.63,0-15
96,520,U001,0200762301,C&S WH associates,2020-04-28,2020.0,1930778021.0,2020-04-12,2020-04-27,2020-04-12,NAC6,102276.04,0-15
97,522,CA02,0140106271,LONGO  in,2020-04-24,2020.0,2960626604.0,2020-04-03,2020-04-17,2020-04-07,CA10,8615.453000000001,0-15
98,529,CA02,0140104423,METRO  us,2020-05-03,2020.0,2960628851.0,2020-04-17,2020-05-01,2020-04-21,CA10,45059.546,0-15
99,531,U001,0200741174,M B  co,2020-04-03,2020.0,1930657267.0,2020-03-16,2020-03-31,2020-03-16,NAA8,5767.83,0-15
100,535,CA02,0100030194,AMAZO llc,2020-04-22,2020.0,2960622411.0,2020-03-18,2020-03-30,2020-03-20,CA10,9851.667,16-30
101,545,U001,0200769623,WAL-MAR trust,2020-04-16,2020.0,1930720012.0,2020-03-30,2020-04-14,2020-03-30,NAH4,42379.83,0-15
102,559,U001,0200592182,DECA in,2020-05-13,2020.0,1930822583.0,2020-04-24,2020-05-09,2020-04-16,NAM4,1761.84,0-15
103,571,U001,0200743996,STATER  co,2020-04-10,2020.0,1930686889.0,2020-03-22,2020-04-06,2020-03-22,NAA8,94612.03,0-15
104,583,U001,0200769623,WAL-MAR in,2020-05-03,2020.0,1930787980.0,2020-04-15,2020-04-30,2020-04-15,NAH4,22226.35,0-15
